K,avg_divergence,shoulder_pan_spread,shoulder_lift_spread,elbow_flex_spread,wrist_flex_spread,wrist_roll_spread,gripper_spread
5,21.80893,7.63201,40.99961,36.58322,18.74339,11.72667,15.16867
10,21.77338,9.43677,36.08016,29.53059,23.60132,16.83654,15.15488
15,22.95377,11.44085,40.85392,36.98455,21.42324,10.84299,16.17706
20,23.40894,12.81987,42.40453,34.48331,21.9257,14.95667,13.86355
25,25.0365,11.18962,43.79593,37.06645,23.70645,18.66558,15.79495
30,24.13705,11.68692,41.18518,35.55162,24.01672,14.44346,17.93839
35,23.83581,11.1904,40.7277,37.21337,22.88343,15.15301,15.84692
40,25.15677,12.67188,42.61104,37.77126,21.97163,17.82566,18.08916
45,24.46455,13.22507,42.28763,34.42576,21.47955,18.37926,16.99004
50,25.01994,12.29897,41.64056,38.83894,24.67616,17.37086,15.29415
55,24.07382,11.68966,42.7033,35.32401,23.72015,13.81024,17.19557
60,25.48753,12.82987,41.96635,37.39087,25.76611,19.2945,15.6775
65,26.8629,15.111,46.25782,39.95624,26.03882,16.60717,17.20636
70,25.61984,11.52958,44.399,39.34122,24.24966,17.12347,17.07611
75,26.88541,13.6017,46.08796,43.7035,22.25076,18.37143,17.29712
80,25.18936,12.14468,42.24772,36.68553,26.57844,16.53559,16.94417
100,26.59036,14.41861,43.01411,39.58841,25.588,19.94253,16.99054
120,27.29879,13.94292,44.44575,38.73549,23.82136,23.45476,19.39244
140,26.71536,14.0976,44.42926,37.92554,29.21231,17.81715,16.81029
160,28.55273,14.0976,48.19075,42.55814,28.71179,20.90056,16.85756
180,27.84676,15.06071,44.49438,41.80819,27.51785,19.87458,18.32483
200,29.09674,13.94877,47.5718,46.89603,27.03871,21.10814,18.01701
220,27.76414,14.55261,46.00439,42.70234,27.89622,17.64914,17.78017
240,28.14048,14.20029,44.14391,43.71135,26.21351,23.24375,17.33006
260,28.6164,13.84817,43.81016,42.44268,30.01536,22.64124,18.9408
280,29.28085,15.49677,45.75154,45.34801,27.50756,22.69238,18.88885
300,28.87205,12.92099,45.74231,45.27251,29.3604,21.16414,18.77192
