K,avg_divergence,shoulder_pan_spread,shoulder_lift_spread,elbow_flex_spread,wrist_flex_spread,wrist_roll_spread,gripper_spread
2,14.83727,7.74741,31.2146,20.56414,15.83322,6.09817,7.56606
3,16.26915,8.04238,33.5231,20.56414,20.15063,7.43159,7.90307
4,18.74866,8.04238,34.01982,22.55788,20.15063,10.74388,16.97735
5,20.5459,8.04238,35.03845,29.51139,22.66697,11.03885,16.97735
6,20.62539,8.51935,35.03845,29.51139,22.66697,11.03885,16.97735
7,20.76794,8.75178,35.03845,29.51139,23.19614,11.1325,16.97735
8,20.85471,9.27245,35.03845,29.51139,23.19614,11.1325,16.97735
9,21.39901,10.00711,35.03845,29.51139,23.19614,13.66362,16.97735
10,21.78889,10.39635,36.98851,29.51139,23.19614,13.66362,16.97735
11,22.36293,10.39635,36.98851,32.9556,23.19614,13.66362,16.97735
12,22.41299,10.39635,36.98851,33.25599,23.19614,13.66362,16.97735
13,22.78202,10.39635,38.59222,33.86646,23.19614,13.66362,16.97735
14,22.90897,10.39635,38.59222,33.86646,23.19614,14.4253,16.97735
15,22.90897,10.39635,38.59222,33.86646,23.19614,14.4253,16.97735
16,22.90897,10.39635,38.59222,33.86646,23.19614,14.4253,16.97735
17,23.31464,12.12286,38.59222,33.86646,23.90366,14.4253,16.97735
18,23.31464,12.12286,38.59222,33.86646,23.90366,14.4253,16.97735
19,23.31464,12.12286,38.59222,33.86646,23.90366,14.4253,16.97735
20,23.31464,12.12286,38.59222,33.86646,23.90366,14.4253,16.97735
25,23.31464,12.12286,38.59222,33.86646,23.90366,14.4253,16.97735
30,23.31464,12.12286,38.59222,33.86646,23.90366,14.4253,16.97735
35,23.52633,12.12286,39.86233,33.86646,23.90366,14.4253,16.97735
40,23.88734,12.12286,40.43867,33.86646,23.90366,16.01505,16.97735
45,23.88734,12.12286,40.43867,33.86646,23.90366,16.01505,16.97735
50,24.06702,12.12286,40.43867,34.94454,23.90366,16.01505,16.97735
55,24.4879,12.12286,42.66718,35.2129,23.90366,16.01505,17.00574
60,24.5825,12.12286,42.66718,35.2129,23.90366,16.58266,17.00574
65,24.5825,12.12286,42.66718,35.2129,23.90366,16.58266,17.00574
70,24.62881,12.12286,42.66718,35.2129,23.90366,16.86053,17.00574
75,24.63221,12.12286,42.68757,35.2129,23.90366,16.86053,17.00574
80,24.7428,12.78641,42.68757,35.2129,23.90366,16.86053,17.00574
85,24.7428,12.78641,42.68757,35.2129,23.90366,16.86053,17.00574
90,24.7428,12.78641,42.68757,35.2129,23.90366,16.86053,17.00574
95,25.10975,14.98809,42.68757,35.2129,23.90366,16.86053,17.00574
100,25.31478,14.98809,42.68757,35.2129,23.90366,16.86053,18.23596
150,26.19272,14.98809,42.68757,36.50592,25.57121,19.16759,18.23596
200,27.65255,14.98809,42.68757,40.93097,27.90084,19.9062,19.50162
250,28.53081,14.98809,45.87971,40.93097,29.97828,19.9062,19.50162
300,28.94534,15.09032,46.57135,42.62425,29.97828,19.9062,19.50162
350,29.27457,15.22003,48.41702,42.62425,29.97828,19.9062,19.50162
400,29.65642,15.76671,48.41702,43.48383,29.97828,19.9062,20.38651
450,29.84907,16.92259,48.41702,43.48383,29.97828,19.9062,20.38651
500,29.94989,16.92259,48.41702,44.08875,29.97828,19.9062,20.38651
550,30.24658,16.92259,48.41702,44.08875,31.75844,19.9062,20.38651
600,30.24658,16.92259,48.41702,44.08875,31.75844,19.9062,20.38651
650,30.24658,16.92259,48.41702,44.08875,31.75844,19.9062,20.38651
700,30.38017,16.92259,48.41702,44.52483,31.75844,20.2716,20.38651
750,30.38037,16.92259,48.41827,44.52483,31.75844,20.2716,20.38651
800,30.77188,16.92259,48.41827,44.52483,31.75844,22.62067,20.38651
850,30.77188,16.92259,48.41827,44.52483,31.75844,22.62067,20.38651
900,30.77188,16.92259,48.41827,44.52483,31.75844,22.62067,20.38651
950,30.82856,16.92259,48.41827,44.86489,31.75844,22.62067,20.38651
1000,30.93073,16.92259,48.41827,44.86489,31.75844,23.23367,20.38651
