K,avg_divergence,shoulder_pan_spread,shoulder_lift_spread,elbow_flex_spread,wrist_flex_spread,wrist_roll_spread,gripper_spread
2,16.6506,7.74442,37.63038,34.81813,9.00983,6.15556,4.5453
3,19.79596,7.74442,37.63038,34.81813,17.91207,15.64616,5.02459
4,23.213,7.74442,38.81634,35.32269,17.91207,15.64616,23.83633
5,23.65314,7.74442,39.75436,35.32269,19.61485,15.64616,23.83633
6,23.67703,7.74442,39.75436,35.32269,19.75822,15.64616,23.83633
7,23.84609,7.74442,40.76873,35.32269,19.75822,15.64616,23.83633
8,24.21506,7.90767,40.76873,36.56865,19.75822,16.45079,23.83633
9,25.14188,8.86628,41.28599,37.29074,19.75822,19.81373,23.83633
10,25.67107,8.86628,43.36349,38.38834,19.75822,19.81373,23.83633
11,25.67661,8.86628,43.39677,38.38834,19.75822,19.81373,23.83633
12,25.9561,8.86628,43.39677,40.06528,19.75822,19.81373,23.83633
13,26.75046,8.86628,43.39677,42.19179,22.39785,19.81373,23.83633
14,26.75046,8.86628,43.39677,42.19179,22.39785,19.81373,23.83633
15,26.75046,8.86628,43.39677,42.19179,22.39785,19.81373,23.83633
16,26.75046,8.86628,43.39677,42.19179,22.39785,19.81373,23.83633
17,26.75046,8.86628,43.39677,42.19179,22.39785,19.81373,23.83633
18,26.77183,8.99451,43.39677,42.19179,22.39785,19.81373,23.83633
19,27.5399,8.99451,43.39677,42.19179,22.39785,24.42211,23.83633
20,27.58262,8.99451,43.39677,42.19179,22.65422,24.42211,23.83633
25,27.65217,9.41178,43.39677,42.19179,22.65422,24.42211,23.83633
30,28.16053,9.41178,43.39677,44.06946,22.65422,25.5946,23.83633
35,28.34687,9.82479,43.39677,44.09845,23.33025,25.5946,23.83633
40,28.57379,9.82479,44.7583,44.09845,23.33025,25.5946,23.83633
45,29.25027,10.48061,44.7583,44.74878,25.93256,25.5946,23.98676
50,29.27455,10.48061,44.7583,44.74878,25.93256,25.5946,24.13246
55,29.49545,10.48061,44.7583,44.74878,27.25798,25.5946,24.13246
60,29.86931,10.48061,44.7583,44.74878,27.25798,25.5946,26.37556
65,29.87945,10.54149,44.7583,44.74878,27.25798,25.5946,26.37556
70,30.25582,10.54149,44.7583,44.74878,27.25798,27.8528,26.37556
75,30.25582,10.54149,44.7583,44.74878,27.25798,27.8528,26.37556
80,30.59946,10.54149,44.7583,44.74878,27.25798,29.91463,26.37556
85,30.68382,10.54149,44.93211,44.74878,27.59035,29.91463,26.37556
90,30.71213,10.71133,44.93211,44.74878,27.59035,29.91463,26.37556
95,31.0172,10.96027,45.18379,46.07861,27.59035,29.91463,26.37556
100,31.13544,10.96027,45.18379,46.78801,27.59035,29.91463,26.37556
150,33.34076,11.17625,53.7391,51.23968,27.59035,29.91463,26.38452
200,33.43712,11.52239,53.7391,51.23968,27.59035,29.91463,26.61658
250,36.44877,11.93453,54.45889,57.75024,28.69473,39.17428,26.67996
300,37.0912,13.71402,54.45889,57.75024,29.04201,39.17428,28.40775
350,37.09339,13.72719,54.45889,57.75024,29.04201,39.17428,28.40775
400,37.09339,13.72719,54.45889,57.75024,29.04201,39.17428,28.40775
450,37.56704,13.72719,54.45889,57.75024,31.88391,39.17428,28.40775
500,37.59124,13.72719,54.45889,57.75024,31.88391,39.17428,28.55291
550,37.79753,14.18638,54.45889,57.75024,31.88391,39.17428,29.33147
600,38.91696,14.18638,54.45889,57.8473,31.88391,45.79382,29.33147
650,38.91696,14.18638,54.45889,57.8473,31.88391,45.79382,29.33147
700,39.0029,14.18638,54.45889,57.8473,31.88391,46.3095,29.33147
750,39.0029,14.18638,54.45889,57.8473,31.88391,46.3095,29.33147
800,39.48029,14.18638,54.45889,57.8473,31.88391,49.17381,29.33147
850,39.49506,14.18638,54.45889,57.8473,31.88391,49.17381,29.42006
900,39.49506,14.18638,54.45889,57.8473,31.88391,49.17381,29.42006
950,39.64351,14.18638,54.45889,58.73804,31.88391,49.17381,29.42006
1000,39.64469,14.18638,54.45889,58.73804,31.88391,49.17381,29.4271
