candidate,timestep,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
0,0,34.79591,20.47859,-33.71576,90.86791,-15.79880,1.91249
0,1,33.18512,18.46961,-32.97014,91.39629,-20.58968,2.14440
0,2,32.18007,20.31699,-31.28133,89.62909,-20.62410,2.10281
0,3,32.38442,21.18077,-31.53870,89.06898,-21.98033,2.10472
0,4,32.18570,21.65140,-30.24416,89.17831,-19.60053,2.26263
0,5,31.93681,22.13267,-29.50434,88.70456,-22.05960,2.36839
0,6,32.72539,23.19004,-29.86335,86.87659,-21.79057,2.40675
0,7,33.28968,25.48806,-33.68773,88.67386,-22.57086,2.11846
0,8,35.40063,28.05854,-34.45623,86.66160,-20.68485,2.15947
0,9,35.69175,29.80537,-35.95526,87.16724,-22.79134,2.21231
0,10,35.81189,31.69182,-37.94950,87.42882,-20.89648,2.14389
0,11,35.94791,35.13685,-40.05667,88.02380,-23.27453,2.30476
0,12,35.19902,35.42863,-39.85955,86.48923,-23.30481,2.38338
0,13,35.71645,37.35292,-41.68722,87.43718,-23.52425,2.16881
0,14,35.08928,37.60646,-44.01518,89.12362,-22.90127,1.94819
0,15,35.53204,40.75074,-48.16126,90.18109,-21.80256,2.14290
0,16,35.78374,40.32570,-48.42309,89.51781,-20.94383,1.98438
0,17,35.05591,42.49853,-50.97706,90.66709,-21.33733,2.22884
0,18,35.81993,42.09307,-51.48499,89.36508,-21.21421,2.04236
0,19,36.02241,43.42741,-52.20769,89.20106,-21.05774,2.23766
0,20,34.28761,41.96461,-52.53641,88.57279,-20.68274,2.04201
0,21,35.03741,41.64627,-50.74318,86.59027,-19.95248,2.05630
0,22,35.74013,43.29413,-50.72894,87.33834,-20.70052,2.10931
0,23,35.82534,44.72805,-51.43998,86.81024,-19.26303,2.36267
0,24,35.75465,43.05914,-49.64258,85.06642,-20.80396,2.29827
0,25,35.92085,47.69617,-54.37506,87.64051,-20.51801,2.42039
0,26,34.57694,45.60245,-49.90118,86.32911,-20.98809,2.33954
0,27,34.01532,46.36413,-54.00950,86.68395,-21.61018,2.44821
0,28,35.20982,47.95202,-54.76886,87.39152,-21.26345,2.54145
0,29,35.37503,48.52649,-55.76258,86.12350,-21.12789,2.43588
0,30,34.80329,49.99187,-54.23561,86.09775,-21.93549,2.56327
0,31,34.41931,48.24500,-55.82127,84.52625,-21.43146,2.36672
0,32,33.80004,47.68824,-51.48719,82.10382,-19.48898,2.67203
0,33,34.24754,49.44294,-53.01351,81.75490,-22.45567,2.78989
0,34,33.55644,48.36923,-52.88444,80.87811,-18.81696,2.36959
0,35,34.94652,49.50007,-54.50998,79.45360,-19.95889,2.54013
0,36,35.04549,51.09387,-54.15318,77.91634,-18.14714,2.56776
0,37,34.64647,51.09654,-55.65841,77.15935,-19.99658,2.45191
0,38,33.78162,51.03127,-53.14711,77.34343,-17.15067,2.63562
0,39,34.38044,52.90691,-51.48307,75.08210,-16.72978,2.35754
0,40,34.92281,53.35267,-51.67763,73.31133,-15.64746,2.47551
0,41,35.15414,51.62993,-51.60784,73.32539,-15.93999,2.45910
0,42,35.02424,53.27880,-50.68646,72.71336,-15.23321,2.46661
0,43,37.64568,53.62948,-52.61582,71.56780,-11.34792,2.72924
0,44,35.96199,51.81623,-50.99678,71.08453,-13.18457,3.44025
0,45,36.27015,54.96085,-49.09914,71.04455,-15.37819,9.74156
0,46,35.70868,56.16681,-54.24538,73.61757,-13.66269,4.77841
0,47,34.65104,53.00360,-51.35714,74.20396,-15.13937,4.45581
0,48,36.96270,54.91383,-53.53514,72.80600,-13.83281,3.19664
0,49,35.64007,53.95575,-50.57377,71.29656,-14.21449,3.05388
1,0,30.77839,18.98123,-27.17406,88.31228,-20.15381,2.14595
1,1,29.74290,19.07187,-28.69754,88.02235,-20.67488,2.08081
1,2,30.87489,20.11380,-29.46581,88.47351,-17.37525,2.08253
1,3,29.81777,21.48978,-30.11042,90.30704,-20.51242,1.89606
1,4,32.39243,24.99741,-32.59268,90.80988,-18.00054,1.97524
1,5,32.98465,24.62208,-31.41956,90.42608,-19.50206,1.96265
1,6,34.55003,23.51117,-33.03300,88.60071,-18.68619,1.83070
1,7,34.64277,27.72698,-33.76670,89.67372,-16.72025,2.00426
1,8,33.66010,26.76444,-34.01214,88.15026,-18.77914,1.87207
