cand,Phi_before,Phi_after,Sacc_before,Sacc_after,Svel_after,Scont_after,feasible_after
0,223.933248,0.506539,218.586734,0.000029,0.000000,0.506510,1
1,282.761647,0.373459,275.412416,0.000026,0.000000,0.373433,1
2,247.583005,0.426144,240.359255,0.000023,0.000000,0.426121,1
3,210.524484,0.401484,208.348631,0.000029,0.000000,0.401456,1
4,221.050533,0.479000,215.147843,0.000032,0.000000,0.478968,1
5,259.756777,0.445975,254.817642,0.000032,0.000000,0.445943,1
6,254.689127,0.474467,246.456210,0.000027,0.000000,0.474440,1
7,251.397287,0.439161,246.738331,0.000075,0.000000,0.439086,1
8,228.834295,0.423865,226.495879,0.000058,0.000000,0.423806,1
9,258.667227,0.511708,249.028655,0.000020,0.000000,0.511688,1
10,193.913616,0.418184,189.990997,0.000019,0.000000,0.418165,1
11,213.849395,0.392121,208.873507,0.000020,0.000000,0.392101,1
12,209.279349,0.478284,202.755634,0.000029,0.000000,0.478255,1
13,208.910651,0.427063,201.848805,0.000024,0.000000,0.427039,1
14,251.534303,0.429154,246.172396,0.000013,0.000000,0.429142,1
