step,wall_time,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,qdot_shoulder_pan,qdot_shoulder_lift,qdot_elbow_flex,qdot_wrist_flex,qdot_wrist_roll,qdot_gripper,qddot_shoulder_pan,qddot_shoulder_lift,qddot_elbow_flex,qddot_wrist_flex,qddot_wrist_roll,qddot_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,load_shoulder_pan,load_shoulder_lift,load_elbow_flex,load_wrist_flex,load_wrist_roll,load_gripper,current_shoulder_pan,current_shoulder_lift,current_elbow_flex,current_wrist_flex,current_wrist_roll,current_gripper
0,1785849399.6523,0.0,-1.4945,-101.6703,96.6154,81.6703,-84.2637,2.5794,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,-52,-20,0,-96,0,24,1,0,0,4,0,0
1,1785849401.2377,1.58552,-1.4945,-101.6703,96.6154,81.7582,-84.2637,2.5794,0.0000,0.0000,0.0000,0.0554,0.0000,0.0000,0.000,0.000,0.000,0.035,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1785849401.5405,0.30276,-1.4945,-101.6703,96.6154,81.7582,-84.2637,2.5794,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.000,-0.183,0.000,0.000,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
3,1785849401.5738,0.03334,-1.4945,-101.6703,96.6154,81.7582,-84.2637,2.5794,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,-80,24,-96,116,-96,40,2,0,3,3,3,0
4,1785849401.6073,0.0334,-1.3187,-101.5824,96.8791,81.4066,-83.8242,2.5794,5.2643,2.6321,7.8964,-10.5285,13.1606,0.0000,157.614,78.807,236.422,-315.229,394.036,0.000,0,0,100,-50,200,0,-80,64,-92,128,-116,28,1,0,2,3,2,0
5,1785849401.6406,0.03336,-0.6154,-101.3187,97.1429,80.5275,-82.9451,2.5794,21.0790,7.9046,7.9046,-26.3488,26.3488,0.0000,473.996,158.026,0.247,-474.161,395.272,0.000,250,50,50,-250,400,0,72,-72,32,136,52,36,3,1,1,2,1,0
6,1785849401.6741,0.03343,-0.7033,-101.2308,96.9670,79.9121,-83.3846,2.5794,-2.6297,2.6297,-5.2595,-18.4081,-13.1486,0.0000,-709.204,-157.789,-393.780,237.531,-1181.494,0.000,-100,50,0,-200,-150,0,172,-24,88,-72,68,40,4,0,1,2,0,1
7,1785849401.7074,0.03335,-2.0220,-101.1429,96.5275,80.0879,-83.6484,2.5794,-39.5444,2.6363,-13.1815,5.2726,-7.9089,0.0000,-1106.993,0.197,-237.564,710.134,157.129,0.000,-400,0,-200,0,-50,0,-64,-80,-36,104,-56,36,2,2,1,4,0,1
8,1785849401.7407,0.03337,-2.0220,-100.6154,96.5275,79.6484,-83.2088,2.5794,0.0000,15.8047,0.0000,-13.1706,13.1706,0.0000,1184.874,394.567,394.958,-552.615,631.607,0.000,50,200,0,-100,200,0,36,56,-120,76,72,0,0,1,3,1,2,0
9,1785849401.7743,0.03342,-1.5824,-100.7912,96.9670,79.3846,-84.0000,2.5794,13.1511,-5.2604,13.1511,-7.8907,-23.6720,0.0000,393.465,-630.244,393.465,157.969,-1102.285,0.000,100,-100,150,-50,-150,0,40,-44,32,-32,108,52,0,1,0,1,1,0
10,1785849401.8075,0.03335,-2.1978,-100.8791,96.7912,79.3846,-84.5275,2.5132,-18.4519,-2.6360,-5.2720,0.0000,-15.8159,-1.9831,-947.591,78.693,-552.402,236.596,235.560,-59.461,-100,-100,0,-50,-150,-50,-92,-124,112,0,-84,0,3,2,1,0,2,0
11,1785849401.8409,0.03342,-1.9341,-100.0879,96.2637,79.2967,-83.9121,2.5132,7.8906,23.6718,-15.7812,-2.6302,18.4114,0.0000,788.128,787.091,-314.422,-78.692,1024.031,59.331,50,300,-150,-100,200,0,-32,48,64,-44,-32,32,0,1,1,0,0,0
12,1785849401.8743,0.03337,-1.3187,-99.9121,96.0000,79.5604,-84.0879,2.4471,18.4424,5.2692,-7.9039,7.9039,-5.2692,-1.9821,316.224,-551.504,236.075,315.694,-709.683,-59.400,200,-100,-50,150,0,-50,80,144,-32,60,76,-20,3,4,1,1,1,0
13,1785849401.9077,0.0334,-1.5824,-101.2308,96.0000,79.2088,-84.4396,2.4471,-7.8961,-39.4807,0.0000,-10.5282,-10.5282,0.0000,-788.563,-1339.794,236.638,-551.848,-157.450,59.342,50,-450,0,-200,-150,0,24,-100,-40,44,-40,-20,0,4,0,0,0,0
14,1785849401.9411,0.03335,-2.0220,-101.1429,96.0879,78.9451,-84.2637,2.4471,-13.1796,2.6359,2.6359,-7.9077,5.2718,0.0000,-158.416,1262.806,79.034,78.570,473.741,0.000,-200,50,50,-150,0,0,-64,-112,100,-60,-48,-20,0,2,4,1,0,0
15,1785849401.9744,0.03337,-1.5824,-100.0000,95.9121,79.1209,-84.2637,2.4471,13.1704,34.2431,-5.2682,5.2682,0.0000,0.0000,789.517,947.035,-236.827,394.786,-157.958,0.000,100,400,-100,100,0,0,44,-36,68,60,20,-32,1,0,0,1,0,0
16,1785849402.0078,0.03337,-1.4066,-99.9121,95.7363,79.0330,-84.6154,2.4471,5.2689,2.6345,-5.2689,-2.6345,-10.5378,0.0000,-236.784,-947.215,-0.023,-236.818,-315.787,0.000,0,150,-100,0,-150,0,-36,-48,-44,28,92,24,0,0,1,1,1,0
17,1785849402.0413,0.03342,-1.7582,-100.0000,95.8242,79.0330,-85.1429,2.4471,-10.5219,-2.6305,2.6305,0.0000,-15.7829,0.0000,-472.490,-157.536,236.364,78.828,-156.942,0.000,-150,0,50,0,-150,0,20,20,-24,32,80,0,0,0,1,1,1,0
18,1785849402.0746,0.03336,-1.8462,-99.7363,95.9121,79.0330,-85.5824,2.4471,-2.6350,7.9051,2.6350,0.0000,-13.1752,0.0000,236.399,315.791,0.137,0.000,78.161,0.000,0,100,50,0,-150,0,0,116,-108,32,96,44,0,2,3,1,1,1
19,1785849402.1081,0.03344,-1.8462,-100.5275,96.1758,79.0330,-86.4615,2.4471,0.0000,-23.6616,7.8872,0.0000,-26.2906,0.0000,78.803,-944.021,157.068,0.000,-392.224,0.000,0,-150,100,0,-300,0,60,-92,72,-48,104,-32,1,3,3,0,1,1
20,1785849402.1414,0.03332,-1.7582,-100.4396,96.0879,79.2967,-87.4286,2.4471,2.6384,2.6384,-2.6384,7.9151,-29.0219,0.0000,79.180,789.293,-315.885,237.541,-81.968,0.000,50,0,0,0,-300,0,132,-108,188,40,-76,32,3,3,8,1,3,0
21,1785849402.1747,0.03333,-2.8132,-99.2967,95.1209,79.2967,-87.3407,2.4471,-31.6523,34.2900,-29.0146,0.0000,2.6377,0.0000,-1028.846,949.666,-791.385,-237.481,949.904,0.000,-350,450,-400,50,-50,0,104,-232,352,80,-48,40,1,8,24,2,0,1
22,1785849402.2082,0.0334,-3.9560,-97.0110,93.0989,79.1209,-87.0769,2.4471,-34.2150,68.4299,-60.5342,-5.2638,7.8958,0.0000,-76.722,1022.085,-943.636,-157.589,157.417,0.000,-350,1000,-500,0,150,0,116,-332,392,44,32,-32,1,5,26,1,1,0
23,1785849402.2414,0.03336,-4.6593,-94.5495,90.3736,78.7692,-87.1648,2.4471,-21.0805,73.7816,-81.6868,-10.5402,-2.6351,0.0000,393.691,160.411,-634.024,-158.153,-315.648,0.000,-200,850,-950,-100,50,0,-64,-340,328,200,-204,24,2,8,13,8,9,0
24,1785849402.2749,0.03344,-4.3956,-91.7363,88.0879,77.4505,-85.4945,2.4471,7.8873,84.1311,-68.3565,-39.4365,49.9529,0.0000,866.309,309.512,398.654,-864.170,1572.693,0.000,50,1000,-750,-450,400,0,-164,-288,324,160,-340,-32,4,3,16,2,11,0
25,1785849402.3083,0.03338,-2.9011,-88.8352,85.8022,76.3956,-82.9451,2.4471,44.7770,86.9200,-68.4824,-31.6073,76.3842,0.0000,1105.253,83.557,-3.771,234.571,791.911,0.000,550,900,-750,-300,850,50,-56,-284,348,-60,-336,0,0,3,18,2,5,0
26,1785849402.3416,0.03337,-2.2857,-86.3736,83.4286,76.7473,-80.0440,2.5132,18.4404,73.7616,-71.1273,10.5374,86.9333,1.9819,-789.192,-394.299,-79.255,1262.892,316.111,59.388,350,800,-800,-50,1000,0,-68,-328,348,-40,-296,0,1,7,16,0,2,0
27,1785849402.3751,0.03342,-2.3736,-83.4725,81.0549,77.0110,-76.9670,2.5132,-2.6303,86.8006,-71.0187,7.8910,92.0613,0.0000,-630.434,390.127,3.248,-79.180,153.428,-59.297,-100,950,-800,150,950,0,-172,-296,324,108,-264,-28,6,4,16,3,2,0
28,1785849402.4085,0.03339,-0.9670,-80.4835,78.8571,76.3077,-74.6813,2.5132,42.1258,89.5173,-65.8215,-21.0629,68.4544,0.0000,1340.391,81.360,155.649,-867.133,-706.998,0.000,450,950,-750,-300,800,0,-88,-280,344,164,-324,-40,0,2,19,3,7,1
29,1785849402.4418,0.03335,0.2637,-77.8462,76.5714,75.1648,-71.9560,2.5794,36.9014,79.0745,-68.5312,-34.2656,81.7103,1.9830,-156.639,-313.100,-81.243,-395.849,397.444,59.454,600,900,-800,-400,950,50,60,-312,352,20,-196,24,2,5,20,0,0,0
30,1785849402.4753,0.0334,-0.2637,-75.2088,74.1099,74.9890,-69.9341,2.5794,-15.7930,78.9651,-73.7007,-5.2643,60.5399,0.0000,-1577.720,-3.276,-154.780,868.325,-633.862,-59.372,-100,900,-850,-100,800,0,-108,-300,320,-160,-112,-28,3,4,12,5,0,0
31,1785849402.5086,0.03338,0.1758,-72.4835,71.6484,76.4835,-68.2637,2.5794,13.1684,81.6440,-73.7430,44.7725,50.0399,0.0000,867.628,80.257,-1.266,1499.009,-314.560,0.000,200,950,-850,500,500,0,-140,-300,320,-236,-276,24,2,3,12,4,9,0
32,1785849402.5421,0.03342,1.7582,-69.5824,69.4505,78.5055,-66.0659,2.5794,47.3443,86.7979,-65.7559,60.4955,65.7559,0.0000,1022.507,154.197,238.964,470.414,470.208,0.000,450,950,-750,650,800,0,-40,-280,356,-80,-336,0,0,3,21,0,6,0
