t,goal_shoulder_pan,goal_shoulder_lift,goal_elbow_flex,goal_wrist_flex,goal_wrist_roll,goal_gripper,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper
0.0014948290008760523,2057,894,3015,2894,988,1402,2063,895,3017,2892,991,1406
0.004352759000539663,2067,896,3015,2898,1000,1402,2063,895,3017,2892,991,1406
0.03503709600045113,2053,886,3015,2904,994,1402,2063,895,3017,2892,991,1406
0.06845295500170323,2048,888,3015,2887,984,1402,2063,895,3017,2895,993,1406
0.101578296000298,2044,902,3010,2878,977,1402,2063,891,3017,2898,992,1406
0.13523384600011923,2050,942,2938,2885,944,1402,2054,891,3017,2894,987,1406
0.16839157800131943,2091,995,2927,2871,1053,1402,2048,893,3017,2889,982,1406
0.20173183400038397,2076,1017,2911,2849,1033,1402,2053,909,3013,2889,971,1406
0.23558009800035506,2113,1052,2884,2875,1039,1402,2058,945,2995,2882,961,1406
0.2689079510000738,2160,1077,2858,2894,1080,1402,2068,971,2968,2870,967,1406
0.3023343600016233,2163,1109,2830,2852,1106,1402,2082,1000,2942,2867,990,1406
0.3353276520010695,2165,1140,2805,2897,1136,1402,2107,1030,2917,2880,1023,1406
0.369157882001673,2183,1171,2780,2891,1167,1402,2136,1065,2892,2888,1054,1406
0.402257104000455,2210,1203,2754,2883,1198,1402,2144,1094,2866,2890,1086,1406
0.4355586170004244,2198,1232,2727,2902,1232,1402,2154,1122,2840,2890,1120,1406
0.46897876400180394,2213,1262,2701,2914,1258,1402,2180,1152,2814,2890,1147,1406
0.5024504580014764,2216,1296,2674,2935,1291,1402,2192,1188,2787,2895,1178,1406
0.5358095790015796,2241,1325,2648,2964,1324,1402,2192,1216,2762,2905,1212,1406
0.5695680440003343,2277,1356,2621,2946,1354,1402,2201,1246,2734,2917,1242,1406
0.6030328950000694,2286,1390,2594,2950,1384,1402,2219,1280,2707,2939,1273,1406
0.6363529330010351,2326,1420,2569,2930,1417,1402,2238,1311,2683,2945,1305,1406
0.6693848780014378,2319,1451,2542,2934,1446,1402,2262,1341,2656,2944,1334,1406
0.7030587330009439,2359,1484,2515,2942,1477,1402,2282,1374,2628,2939,1366,1406
0.7362622010004998,2374,1515,2489,2918,1509,1402,2297,1406,2602,2937,1397,1406
0.7696871770003781,2371,1547,2462,2926,1540,1402,2317,1437,2576,2940,1429,1406
0.8032833960005519,2399,1645,2386,2958,1549,1402,2341,1471,2549,2933,1459,1406
0.8365836170014518,2447,1646,2385,2953,1598,1402,2356,1504,2523,2928,1489,1406
0.9513770350004052,2479,1654,2379,2950,1640,1402,2425,1620,2433,2945,1567,1406
0.9846912320008414,2480,1670,2364,2922,1642,1402,2432,1631,2427,2951,1577,1406
1.0176999530012836,2476,1701,2334,2934,1677,1402,2440,1641,2416,2950,1594,1406
1.0514535990005243,2490,1737,2306,2987,1692,1402,2455,1656,2404,2943,1617,1406
1.0845768250001129,2501,1772,2281,2991,1719,1402,2466,1678,2385,2933,1637,1406
1.1181313350007258,2498,1805,2253,3036,1733,1402,2474,1704,2359,2940,1661,1406
1.1515773410010297,2500,1836,2226,3019,1763,1402,2480,1734,2333,2965,1685,1406
1.1847819910017279,2539,1873,2199,3028,1702,1402,2487,1768,2309,2991,1703,1406
1.2181543380011135,2523,1908,2174,3044,1757,1402,2495,1800,2285,3010,1724,1406
1.2515620820013282,2538,1942,2147,3043,1789,1402,2501,1832,2259,3013,1740,1406
1.285005372001251,2537,1976,2117,3052,1766,1402,2512,1866,2230,3017,1741,1406
1.3183792310010176,2558,2011,2092,3067,1813,1402,2523,1901,2205,3032,1755,1406
1.3520329280017904,2557,2046,2066,3029,1782,1402,2531,1936,2178,3040,1768,1406
1.3850113420012349,2515,2081,2037,3056,1845,1402,2536,1971,2151,3047,1782,1406
1.4186273480008822,2553,2116,2011,3053,1871,1402,2541,2006,2124,3053,1797,1406
1.452155038001365,2548,2152,1983,3047,1851,1402,2543,2042,2097,3047,1810,1406
1.4851579180012777,2566,2188,1955,3032,1891,1402,2539,2077,2070,3047,1833,1406
1.5189411290011776,2580,2220,1929,3024,1901,1402,2537,2114,2042,3046,1848,1406
1.5522508780013595,2593,2217,1901,3018,1885,1402,2548,2148,2014,3039,1863,1406
1.585705550000057,2600,2194,1873,3008,1856,1402,2559,2182,1987,3032,1877,1406
1.6190987760001008,2610,2224,1848,3002,1855,1402,2576,2205,1961,3025,1877,1406
1.652227082000536,2618,2247,1826,2995,1853,1402,2587,2208,1940,3018,1867,1406
1.6859772420011723,2599,2266,1798,2978,1852,1402,2597,2206,1912,3013,1862,1406
1.7194556480008032,2611,2272,1766,2972,1860,1402,2603,2213,1880,3005,1860,1406
1.752602870001283,2623,2293,1736,2960,1845,1402,2602,2238,1850,2994,1858,1406
1.7859753070006263,2616,2344,1710,2952,1862,1402,2601,2264,1823,2981,1858,1406
1.8191837040012615,2618,2352,1688,2949,1860,1402,2605,2286,1801,2977,1855,1406
1.852878239000347,2624,2361,1691,2937,1864,1402,2610,2310,1773,2965,1854,1406
1.8863800190010807,2649,2364,1686,2934,1936,1402,2616,2334,1743,2956,1857,1406
1.9198755080014962,2646,2367,1710,2920,1927,1402,2620,2353,1731,2949,1860,1406
1.9528223920005985,2650,2341,1716,2926,1933,1402,2625,2365,1728,2946,1871,1406
1.9863232810002955,2638,2336,1731,2923,1933,1402,2633,2369,1728,2936,1894,1406
2.0195523480015254,2632,2362,1666,2935,1935,1402,2641,2367,1727,2932,1911,1406
2.053376987001684,2616,2356,1680,2937,1938,1402,2641,2365,1730,2932,1918,1406
2.086653122001735,2617,2370,1686,2921,1940,1402,2641,2369,1731,2934,1924,1406
2.1201513260002685,2607,2384,1663,2909,1937,1402,2633,2376,1722,2935,1929,1406
2.153632308001761,2611,2361,1704,2922,1933,1402,2625,2380,1714,2927,1931,1406
2.186652160000449,2602,2382,1692,2912,1939,1402,2617,2384,1702,2918,1931,1406
2.2202841860016633,2590,2394,1675,2911,1953,1402,2614,2386,1698,2918,1931,1406
2.253572224000891,2579,2401,1662,2888,1945,1402,2610,2388,1702,2920,1937,1406
2.2868807900013053,2571,2374,1691,2901,1979,1402,2605,2400,1699,2914,1942,1406
