t,goal_shoulder_pan,goal_shoulder_lift,goal_elbow_flex,goal_wrist_flex,goal_wrist_roll,goal_gripper,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper
0.0015273110002453905,2057,894,3015,2894,988,1402,2063,896,3017,2892,991,1406
0.004408508000778966,2057,894,3015,2893,988,1402,2063,896,3017,2892,991,1406
0.011319589000777341,2059,895,3015,2893,989,1402,2063,896,3017,2892,991,1406
0.02178908400128421,2061,896,3015,2893,990,1402,2063,896,3017,2892,991,1406
0.03165283599992108,2064,897,3015,2892,993,1402,2063,896,3017,2892,991,1406
0.041666860999612254,2066,898,3015,2893,995,1402,2063,896,3017,2892,991,1406
0.05226802499964833,2068,898,3015,2893,997,1402,2063,896,3017,2892,991,1406
0.06318285000088508,2069,898,3015,2895,998,1402,2063,896,3017,2892,991,1406
0.07152110400056699,2068,897,3015,2896,999,1402,2063,896,3017,2892,991,1406
0.08344938099980936,2067,896,3015,2898,1000,1402,2063,896,3017,2892,991,1406
0.09141223699953116,2065,894,3015,2900,1000,1402,2063,896,3017,2892,992,1406
0.10326227699988522,2061,891,3015,2903,999,1402,2064,896,3017,2892,993,1406
0.11134448700067878,2058,889,3015,2904,998,1402,2064,896,3017,2893,993,1406
0.12188293200051703,2055,887,3015,2904,996,1402,2064,896,3017,2894,994,1406
0.13166713400096342,2053,886,3015,2904,994,1402,2064,896,3017,2896,994,1406
0.1424844960001792,2051,885,3015,2902,992,1402,2064,896,3017,2897,994,1406
0.1514468469995336,2050,885,3014,2900,990,1402,2064,895,3017,2899,994,1406
0.16163539199988008,2049,885,3014,2897,987,1402,2064,895,3017,2899,994,1406
0.17167936400073813,2049,886,3014,2893,985,1402,2061,894,3017,2899,993,1406
0.1816177670007164,2048,887,3015,2889,984,1402,2059,893,3017,2899,993,1406
0.19193197899949155,2048,889,3016,2885,985,1402,2057,892,3017,2899,993,1406
0.2015364420003607,2047,891,3017,2882,986,1402,2054,891,3017,2899,993,1406
0.21127489799982868,2046,894,3018,2880,986,1402,2052,890,3017,2899,992,1406
0.22141222600112087,2046,896,3017,2879,985,1402,2051,889,3017,2897,991,1406
0.23291855699972075,2045,899,3015,2878,983,1402,2051,889,3019,2894,990,1406
0.24133810400053335,2044,901,3012,2878,980,1402,2051,889,3019,2892,990,1406
0.2517898360001709,2043,903,3008,2878,975,1402,2051,889,3020,2890,989,1406
0.2613177639996138,2043,905,3003,2879,969,1402,2052,889,3021,2890,988,1406
0.2716449110012036,2042,908,2996,2880,962,1402,2052,892,3021,2889,987,1406
0.28153628499967454,2042,911,2989,2881,956,1402,2052,895,3021,2888,985,1406
0.2922741460006364,2041,914,2981,2882,950,1402,2052,897,3021,2888,983,1406
0.3012192349997349,2042,917,2973,2883,945,1402,2051,898,3021,2887,980,1406
0.3117933779994928,2042,921,2966,2883,942,1402,2049,898,3020,2887,976,1406
