step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
0,1786014290.5183,1786014290.8805,2.49479,-3.6044,-104.2198,95.9121,82.4615,-90.0659,1.9841,-3.4651,-107.1217,92.3175,83.3272,-89.6883,1.7203,-3.4651,-107.1217,92.3175,83.3272,-89.6883,1.7203,0,0,0,0,0,0,1
1,1786014290.8817,1786014290.887,0.36337,-3.6044,-104.2198,95.9121,82.4615,-90.0659,1.9841,-3.5955,-106.7803,91.7425,83.3215,-90.1001,1.7445,-3.5955,-106.7803,91.7425,83.3215,-90.1001,1.7445,0,0,0,0,0,0,1
2,1786014290.9151,1786014290.92,0.03338,-3.6044,-104.2198,95.9121,82.4615,-90.0659,1.9841,-3.6527,-106.0778,90.7214,83.3069,-90.2545,1.6439,-3.6527,-106.0778,90.7214,83.3069,-90.2545,1.6439,0,0,0,0,0,0,0
3,1786014290.9484,1786014290.9531,0.03336,-3.6044,-104.3956,95.4725,82.6374,-90.0659,1.9841,-3.7467,-105.9574,89.9404,83.3483,-90.5460,1.7197,-3.7467,-105.9574,89.9404,83.3483,-90.5460,1.7197,0,-100,0,50,0,0,0
4,1786014290.9819,1786014290.9864,0.03342,-3.6044,-104.3956,94.3297,82.6374,-90.0659,1.9841,-3.6247,-104.9044,88.4542,83.0043,-90.5134,1.6480,-3.6247,-104.9044,88.4542,83.0043,-90.5134,1.6480,0,0,-400,50,0,0,0
5,1786014291.0152,1786014291.02,0.03333,-3.6044,-104.3956,93.2747,82.9890,-90.1538,1.9841,-3.6046,-103.7619,87.0266,82.6141,-90.5868,1.6962,-3.6046,-103.7619,87.0266,82.6141,-90.5868,1.6962,0,0,-400,150,0,0,0
6,1786014291.0486,1786014291.053,0.03339,-3.6044,-104.3956,92.3956,83.0769,-90.1538,1.9841,-3.6147,-101.5946,85.0550,82.1211,-90.4825,1.6681,-3.6147,-101.5946,85.0550,82.1211,-90.4825,1.6681,0,0,-300,0,-50,0,0
7,1786014291.0819,1786014291.0864,0.03334,-3.6044,-104.1319,91.2527,83.1648,-90.3297,1.9841,-3.2462,-98.3947,82.1135,81.4537,-90.3661,1.6262,-3.2462,-98.3947,82.1135,81.4537,-90.3661,1.6262,0,100,-350,50,-50,0,0
8,1786014291.1154,1786014291.1201,0.03343,-3.6044,-103.7802,89.6703,82.8132,-90.3297,1.9841,-2.8597,-94.5304,78.8702,80.8509,-90.1527,1.5823,-2.8597,-94.5304,79.4066,80.8509,-90.1527,1.5823,0,0,-550,-150,0,0,0
9,1786014291.1488,1786014291.1534,0.03344,-3.6044,-102.0220,87.6484,82.2857,-90.3297,1.9841,-2.1811,-90.4719,75.1629,80.3346,-89.8644,1.4997,-2.1811,-91.6703,77.3846,80.3346,-89.8644,1.4997,0,600,-700,-200,0,0,0
10,1786014291.1821,1786014291.1871,0.03331,-3.5165,-99.5604,85.3626,81.8462,-90.3297,1.9841,-1.6790,-85.8091,71.9381,79.8199,-89.3884,1.5100,-1.6790,-89.2088,74.9231,79.8199,-89.3884,1.5100,0,800,-800,-150,0,0,0
11,1786014291.2155,1786014291.2205,0.03337,-3.0769,-96.8352,82.9890,81.2308,-90.3297,1.9841,-0.6400,-81.1641,68.2042,79.6053,-88.8845,1.5036,-0.6400,-86.3956,72.6374,79.6053,-88.8845,1.5036,150,950,-850,-200,0,0,0
12,1786014291.2489,1786014291.254,0.03345,-2.5495,-94.0220,80.7033,80.7912,-90.0659,1.9841,0.4524,-76.1380,63.8705,79.2718,-88.0063,1.5536,0.4524,-83.6703,70.4396,79.2718,-88.0063,1.5536,200,950,-750,-200,0,0,0
13,1786014291.2823,1786014291.2874,0.03339,-1.9341,-91.3846,78.4176,80.5275,-89.7143,1.9841,2.1219,-70.5456,59.0987,79.1953,-86.8782,1.6602,2.1219,-81.0330,68.0659,79.1953,-86.8782,1.6602,200,850,-800,-100,150,0,0
14,1786014291.3157,1786014291.3209,0.03338,-1.0549,-88.7473,76.0440,80.0879,-89.0110,1.9841,3.7199,-65.6525,54.5534,79.0735,-85.2103,1.6927,3.7199,-78.2198,65.6923,79.0735,-85.2103,1.6927,300,900,-800,-150,250,0,0
15,1786014291.3491,1786014291.3539,0.03338,0.0000,-86.0220,73.8462,79.9121,-88.3077,1.9841,5.6163,-60.7511,50.0884,79.2216,-83.5132,1.7436,5.6163,-75.5824,63.4945,79.2216,-83.5132,1.7436,350,900,-750,-50,300,0,0
16,1786014291.3825,1786014291.3872,0.03342,1.4945,-83.2967,71.3846,79.7363,-87.0769,1.9841,7.7055,-55.9764,45.6328,79.5994,-81.3498,1.7324,7.7055,-72.8571,61.1209,79.5994,-81.3498,1.7324,500,900,-750,-100,400,0,0
17,1786014291.4159,1786014291.4206,0.03336,3.0769,-80.5714,69.0989,79.7363,-85.6703,1.9841,9.7601,-51.1425,40.9711,80.3092,-79.0042,1.8196,9.7601,-70.1319,58.7473,80.3092,-79.0042,1.8196,500,850,-850,0,500,0,0
