step,t_obs,t_cmd,dt,pos_shoulder_pan,pos_shoulder_lift,pos_elbow_flex,pos_wrist_flex,pos_wrist_roll,pos_gripper,cmd_shoulder_pan,cmd_shoulder_lift,cmd_elbow_flex,cmd_wrist_flex,cmd_wrist_roll,cmd_gripper,sent_shoulder_pan,sent_shoulder_lift,sent_elbow_flex,sent_wrist_flex,sent_wrist_roll,sent_gripper,velraw_shoulder_pan,velraw_shoulder_lift,velraw_elbow_flex,velraw_wrist_flex,velraw_wrist_roll,velraw_gripper,chunk_start
0,1786013956.4187,1786013956.705,1.69445,-4.0440,-104.0440,96.5275,82.1099,-91.5604,1.6534,-5.2398,-100.0882,93.8500,80.5301,-91.2727,1.4683,-5.2398,-100.0882,93.8500,80.5301,-91.2727,1.4683,0,0,0,0,0,0,1
1,1786013956.7062,1786013956.7123,0.2875,-4.0440,-104.0440,96.5275,82.1099,-91.5604,1.6534,-5.0658,-100.1209,92.2437,80.4629,-89.2636,1.5680,-5.0658,-100.1209,92.2437,80.4629,-89.2636,1.5680,0,0,0,0,0,0,1
2,1786013956.7395,1786013956.745,0.03333,-4.0440,-104.0440,96.5275,82.1099,-91.5604,1.6534,-5.3681,-99.5505,92.5843,81.2251,-88.6727,1.6546,-5.3681,-99.5505,92.5843,81.2251,-88.6727,1.6546,0,0,0,0,0,0,0
3,1786013956.7729,1786013956.7771,0.03338,-4.2198,-103.7802,96.0000,81.5824,-91.0330,1.6534,-5.2912,-96.6732,92.1822,78.0101,-89.8141,2.0290,-5.2912,-96.6732,92.1822,78.0101,-89.8141,2.0290,-100,100,-150,-50,300,0,0
4,1786013956.8063,1786013956.811,0.03342,-4.9231,-102.1978,95.0330,81.3187,-89.9780,1.6534,-5.7913,-99.0798,94.7078,79.7457,-87.9776,1.5478,-5.7913,-99.0798,94.7078,79.7457,-87.9776,1.5478,-200,550,-300,-150,350,0,0
5,1786013956.8397,1786013956.8444,0.03337,-5.0989,-100.5275,94.5934,80.8791,-89.9780,1.6534,-5.6172,-100.0861,93.6137,79.1980,-89.3751,1.9401,-5.6172,-100.0861,93.6137,79.1980,-89.3751,1.9401,-50,600,-150,-100,-50,0,0
6,1786013956.873,1786013956.8777,0.03337,-5.0110,-99.2967,94.7692,80.1758,-89.7143,1.6534,-4.9557,-98.7383,94.5992,78.7575,-87.7526,1.6569,-4.9557,-98.7383,94.5992,78.7575,-87.7526,1.6569,50,400,0,-250,200,0,0
7,1786013956.9065,1786013956.9113,0.03347,-5.3626,-99.1209,95.2088,79.9121,-89.1868,1.7196,-5.5687,-98.3770,92.7852,78.5981,-88.6732,1.4652,-5.5687,-98.3770,92.7852,78.5981,-88.6732,1.4652,-100,50,100,-100,250,0,0
8,1786013956.9398,1786013956.9449,0.03333,-5.3626,-99.6484,95.2088,79.6484,-88.8352,1.7196,-4.6381,-98.5589,92.6406,80.0583,-88.8716,1.4736,-4.6381,-98.5589,92.6406,80.0583,-88.8716,1.4736,0,-200,0,-100,100,0,0
9,1786013956.9732,1786013956.978,0.03342,-5.0989,-99.5604,94.9451,79.3846,-88.8352,1.7196,-4.8060,-100.2150,92.9363,78.5752,-89.6996,1.6620,-4.8060,-100.2150,92.9363,78.5752,-89.6996,1.6620,50,50,-100,-50,-50,0,0
10,1786013957.0067,1786013957.0116,0.03341,-5.0989,-99.0330,94.6813,79.5604,-88.8352,1.7196,-4.8814,-92.8288,87.8725,77.7422,-87.3274,1.6215,-4.8814,-92.8288,87.8725,77.7422,-87.3274,1.6215,0,200,-100,0,0,0,0
11,1786013957.04,1786013957.045,0.03334,-5.1868,-99.2967,94.6813,79.7363,-89.0110,1.7196,-3.2217,-79.4019,75.7580,77.1872,-84.5929,1.6328,-3.2217,-89.3846,84.6813,77.1872,-84.5929,1.6328,-50,-50,0,50,0,0,0
12,1786013957.0734,1786013957.0784,0.03337,-5.1868,-99.8242,94.4176,79.0330,-88.9231,1.7196,-1.6202,-77.6625,74.9423,78.8004,-83.8854,1.8153,-1.6202,-89.8242,84.3297,78.8004,-83.8854,1.8153,0,-150,0,-250,100,0,0
