step,wall_time,tau_rnea_Rotation,tau_rnea_Pitch,tau_rnea_Elbow,tau_rnea_Wrist_Pitch,tau_rnea_Wrist_Roll,tau_rnea_Jaw,load_Rotation,load_Pitch,load_Elbow,load_Wrist_Pitch,load_Wrist_Roll,load_Jaw,current_Rotation,current_Pitch,current_Elbow,current_Wrist_Pitch,current_Wrist_Roll,current_Jaw
0,1785849399.6523,-0.00075,0.04973,-0.36766,-0.03156,0.00067,-0.00052,-52.0,-20.0,0.0,-96.0,0.0,24.0,1.0,0.0,0.0,4.0,0.0,0.0
1,1785849401.2377,-0.00087,0.05005,-0.36629,-0.03062,0.00062,-0.00053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1785849401.5405,-0.00100,0.05019,-0.36513,-0.02987,0.00057,-0.00053,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1785849401.5738,-0.00113,0.05032,-0.36400,-0.02913,0.00053,-0.00054,-80.0,24.0,-96.0,116.0,-96.0,40.0,2.0,0.0,3.0,3.0,3.0,0.0
4,1785849401.6073,-0.00128,0.05017,-0.36314,-0.02839,0.00048,-0.00054,-80.0,64.0,-92.0,128.0,-116.0,28.0,1.0,0.0,2.0,3.0,2.0,0.0
5,1785849401.6406,-0.00143,0.04921,-0.36309,-0.02838,0.00045,-0.00053,72.0,-72.0,32.0,136.0,52.0,36.0,3.0,1.0,1.0,2.0,1.0,0.0
6,1785849401.6741,-0.00117,0.04823,-0.36507,-0.02936,0.00046,-0.00053,172.0,-24.0,88.0,-72.0,68.0,40.0,4.0,0.0,1.0,2.0,0.0,1.0
7,1785849401.7074,-0.00009,0.04838,-0.36549,-0.02928,0.00043,-0.00052,-64.0,-80.0,-36.0,104.0,-56.0,36.0,2.0,2.0,1.0,4.0,0.0,1.0
8,1785849401.7407,0.00065,0.04668,-0.36627,-0.02958,0.00043,-0.00050,36.0,56.0,-120.0,76.0,72.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0
9,1785849401.7743,0.00098,0.04601,-0.36533,-0.02983,0.00045,-0.00050,40.0,-44.0,32.0,-32.0,108.0,52.0,0.0,1.0,0.0,1.0,1.0,0.0
10,1785849401.8075,0.00167,0.04667,-0.36426,-0.03008,0.00046,-0.00050,-92.0,-124.0,112.0,0.0,-84.0,0.0,3.0,2.0,1.0,0.0,2.0,0.0
11,1785849401.8409,0.00126,0.04707,-0.36434,-0.02976,0.00046,-0.00050,-32.0,48.0,64.0,-44.0,-32.0,32.0,0.0,1.0,1.0,0.0,0.0,0.0
12,1785849401.8743,-0.00024,0.04798,-0.36321,-0.02907,0.00047,-0.00053,80.0,144.0,-32.0,60.0,76.0,-20.0,3.0,4.0,1.0,1.0,1.0,0.0
13,1785849401.9077,-0.00045,0.04695,-0.36301,-0.03180,0.00051,-0.00052,24.0,-100.0,-40.0,44.0,-40.0,-20.0,0.0,4.0,0.0,0.0,0.0,0.0
14,1785849401.9411,-0.00038,0.04633,-0.36118,-0.03180,0.00047,-0.00052,-64.0,-112.0,100.0,-60.0,-48.0,-20.0,0.0,2.0,4.0,1.0,0.0,0.0
15,1785849401.9744,-0.00067,0.04737,-0.36028,-0.02959,0.00042,-0.00053,44.0,-36.0,68.0,60.0,20.0,-32.0,1.0,0.0,0.0,1.0,0.0,0.0
16,1785849402.0078,-0.00111,0.04728,-0.36430,-0.03029,0.00046,-0.00055,-36.0,-48.0,-44.0,28.0,92.0,24.0,0.0,0.0,1.0,1.0,1.0,0.0
17,1785849402.0413,-0.00208,0.04724,-0.37135,-0.03125,0.00053,-0.00058,20.0,20.0,-24.0,32.0,80.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
18,1785849402.0746,-0.00335,0.04662,-0.38119,-0.03254,0.00061,-0.00062,0.0,116.0,-108.0,32.0,96.0,44.0,0.0,2.0,3.0,1.0,1.0,1.0
19,1785849402.1081,-0.00310,0.04716,-0.38945,-0.03478,0.00071,-0.00064,60.0,-92.0,72.0,-48.0,104.0,-32.0,1.0,3.0,3.0,0.0,1.0,1.0
20,1785849402.1414,-0.00021,0.04928,-0.39336,-0.03496,0.00074,-0.00061,132.0,-108.0,188.0,40.0,-76.0,32.0,3.0,3.0,8.0,1.0,3.0,0.0
21,1785849402.1747,0.00224,0.04923,-0.39422,-0.03539,0.00077,-0.00057,104.0,-232.0,352.0,80.0,-48.0,40.0,1.0,8.0,24.0,2.0,0.0,1.0
