file,policy,joint,pos_min,pos_max,cmd_min,cmd_max,limit_lo_deg,limit_hi_deg,qmax_sym_deg,cmd_violations,verdict
record_run1.csv,smolvla,shoulder_pan,-18.7,48.4,-19.1,49.1,-110.0,110.0,110.0,0,OK
record_run1.csv,smolvla,shoulder_lift,-104.3,58.9,-104.7,60.2,-100.0,100.0,100.0,20,LIMIT_TOO_TIGHT
record_run1.csv,smolvla,elbow_flex,-86.4,96.9,-89.0,99.9,-100.0,90.0,100.0,30,LIMIT_TOO_TIGHT
record_run1.csv,smolvla,wrist_flex,74.5,105.5,73.0,107.3,-95.0,95.0,95.0,214,LIMIT_TOO_TIGHT
record_run1.csv,smolvla,wrist_roll,-95.4,-4.5,-97.0,-3.8,-160.0,160.0,160.0,0,OK
record_run1.csv,smolvla,gripper,1.7,25.1,1.0,25.9,-10.0,100.0,100.0,0,n/a(%)
record_run2.csv,smolvla,shoulder_pan,-7.8,32.1,-8.7,32.9,-110.0,110.0,110.0,0,OK
record_run2.csv,smolvla,shoulder_lift,-104.0,68.4,-100.2,69.5,-100.0,100.0,100.0,4,LIMIT_TOO_TIGHT
record_run2.csv,smolvla,elbow_flex,-81.1,96.5,-85.7,94.7,-100.0,90.0,100.0,10,LIMIT_TOO_TIGHT
record_run2.csv,smolvla,wrist_flex,70.0,104.8,68.1,106.3,-95.0,95.0,95.0,266,LIMIT_TOO_TIGHT
record_run2.csv,smolvla,wrist_roll,-91.6,11.7,-91.3,13.5,-160.0,160.0,160.0,0,OK
record_run2.csv,smolvla,gripper,1.3,23.1,0.1,24.9,-10.0,100.0,100.0,0,n/a(%)
record_pi05_run1.csv,pi05,shoulder_pan,-7.8,40.4,-8.4,40.7,-110.0,110.0,110.0,0,OK
record_pi05_run1.csv,pi05,shoulder_lift,-104.4,17.3,-107.1,17.1,-100.0,100.0,100.0,7,LIMIT_TOO_TIGHT
record_pi05_run1.csv,pi05,elbow_flex,-37.2,95.9,-43.2,92.3,-100.0,90.0,100.0,3,LIMIT_TOO_TIGHT
record_pi05_run1.csv,pi05,wrist_flex,36.7,96.0,35.6,97.4,-95.0,95.0,95.0,8,LIMIT_TOO_TIGHT
record_pi05_run1.csv,pi05,wrist_roll,-90.3,14.5,-90.6,17.8,-160.0,160.0,160.0,0,OK
record_pi05_run1.csv,pi05,gripper,1.5,28.6,-1.7,28.7,-10.0,100.0,100.0,0,n/a(%)
